,bd,bde,w,we,a,isanim,Item,Group,bd_f,bd_pasture_per_kg,kg_m2_tb,kg_m2_wwf,t_est,LQ,MQ,HQ
46,1.2485751867649273e-10,5.6772025423157546e-12,1319701.1666666667,60006.084518533375,NGA,False,Onions; dry,Vegetables,,,,,0.00016477461306447258,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
45,3.5879051607404033e-12,3.856304410197767e-15,86061.5,92.49947447298163,PRK,False,Onions; dry,Vegetables,,,,,3.087804999910602e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
44,2.6729735671245072e-12,2.7926716153739306e-13,9801.5,1024.0419574194973,OMN,False,Onions; dry,Vegetables,,,,,2.619915041817086e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
43,1.5436215744381636e-11,6.105273801153007e-13,1926966.8333333333,76214.66444247264,PAK,False,Onions; dry,Vegetables,,,,,2.9745075771601223e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
42,2.2852610324435294e-10,1.308259129042856e-11,14304.166666666666,818.8804829585149,PAN,False,Onions; dry,Vegetables,,,,,3.2688754684910984e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
41,1.6199538712932926e-10,5.048881891579288e-13,32084.666666666668,99.99768515839274,PRY,False,Onions; dry,Vegetables,,,,,5.197567997582153e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
40,7.93004858630385e-11,2.585280916107482e-12,678989.0,22135.768254619543,PER,False,Onions; dry,Vegetables,,,,,5.3844157595658645e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
59,6.022254790174493e-09,5.6957064804923827e-11,10626.166666666666,100.49970057077194,MDG,False,Onions; dry,Vegetables,,,,,6.399348310952586e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
49,3.6990022547295904e-13,1.758488948776492e-14,1572806.6666666667,74770.51787029828,NLD,False,Onions; dry,Vegetables,,,,,5.817815406253731e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
60,5.375408434644682e-12,7.942333385392115e-14,59758.333333333336,882.9479872269648,MKD,False,Onions; dry,Vegetables,,,,,3.212254490403085e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
72,4.90658386964969e-10,6.009764459747682e-11,1215.5,148.87891239378249,JAM,False,Onions; dry,Vegetables,,,,,5.963952693559198e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
62,1.2380293566128873e-12,5.1760569639344744e-14,25297.5,1057.659096254029,LTU,False,Onions; dry,Vegetables,,,,,3.131904764891452e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
38,1.294853316232098e-12,4.960181366702847e-14,604895.5,23171.670105672383,POL,False,Onions; dry,Vegetables,,,,,7.83250944148873e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
83,7.808328811943797e-10,5.0679776615292376e-12,8787.833333333334,57.037227933783484,HTI,False,Onions; dry,Vegetables,,,,,6.861829221122677e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
82,1.1082568346738993e-10,1.9908776479290527e-12,14203.5,255.15232378587766,HND,False,Onions; dry,Vegetables,,,,,1.574112595129073e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
81,9.89291107897193e-13,5.778136584215758e-14,53319.333333333336,3114.2136841216234,HUN,False,Onions; dry,Vegetables,,,,,5.274834234567307e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
80,1.0581247965131068e-11,4.558832141442151e-13,22517333.333333332,970032.435501992,IND,False,Onions; dry,Vegetables,,,,,0.00023826148751351128,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
79,5.690658323519716e-11,2.6888726756123156e-12,1507555.1666666667,71232.95169193376,IDN,False,Onions; dry,Vegetables,,,,,8.57898135735682e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
78,5.254053064667636e-12,3.699966720108405e-13,1986116.8333333333,139864.71196727865,IRN,False,Onions; dry,Vegetables,,,,,1.043516323496298e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
77,4.508444114280269e-12,1.3625582135028036e-12,25556.833333333332,7723.878190451086,IRQ,False,Onions; dry,Vegetables,,,,,1.1522155482130846e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
76,8.74904450689124e-13,1.4398618444410426e-13,7111.666666666667,1170.392661238732,IRL,False,Onions; dry,Vegetables,,,,,6.222028818484154e-09,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
75,6.051129551617793e-12,4.860115823490369e-13,24865.833333333332,1997.1615054130461,PSE,False,Onions; dry,Vegetables,,,,,1.504663789089361e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
74,2.16117673883515e-12,1.1201792249202727e-13,88429.0,4583.444144115016,ISR,False,Onions; dry,Vegetables,,,,,1.9111069783845347e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
73,4.528127333732314e-12,1.752679440071343e-13,424590.1666666667,16434.378719989298,ITA,False,Onions; dry,Vegetables,,,,,1.9225983393172922e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
71,4.421441824470377e-12,7.695762297839935e-14,1248010.1666666667,21721.61820043273,JPN,False,Onions; dry,Vegetables,,,,,5.518004348264246e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
70,3.5135025979140313e-11,1.6337229190878125e-12,51581.5,2398.457846547791,JOR,False,Onions; dry,Vegetables,,,,,1.812317342543026e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
69,1.629616617683887e-12,8.590725171938038e-14,818460.0,43146.12926697159,KAZ,False,Onions; dry,Vegetables,,,,,1.333776016909554e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
68,1.5239235738472146e-10,4.467624564745387e-11,83280.83333333333,24415.102017463458,KEN,False,Onions; dry,Vegetables,,,,,1.2691362516630756e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
67,5.993969153532899e-13,4.641897446706243e-14,8550.5,662.174647573349,KWT,False,Onions; dry,Vegetables,,,,,5.125143324728305e-09,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
66,5.128533290165271e-12,9.943016346588462e-14,200672.33333333334,3890.563203064183,KGZ,False,Onions; dry,Vegetables,,,,,1.029154741915142e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
65,6.402704321962038e-13,8.130541049760546e-14,12791.833333333334,1624.384334938192,LVA,False,Onions; dry,Vegetables,,,,,8.19023265691514e-09,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
64,1.4531961327265825e-11,1.0157683137086929e-12,90228.16666666667,6306.8508536205945,LBN,False,Onions; dry,Vegetables,,,,,1.3111922286300955e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
63,5.670086975760305e-13,2.3607802535199538e-15,189175.33333333334,787.6446839458438,LBY,False,Onions; dry,Vegetables,,,,,1.0726405936684477e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
61,1.7319869217081255e-12,5.895485885624955e-13,352.5,119.9869784601646,LUX,False,Onions; dry,Vegetables,,,,,6.105253899021142e-10,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
84,5.082149131120041e-12,3.1548380281168334e-13,2358.5,146.40824771849435,GUY,False,Onions; dry,Vegetables,,,,,1.1986248725746617e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
37,4.966619403353781e-12,7.143930928735039e-13,95905.66666666667,13794.966001461602,PRT,False,Onions; dry,Vegetables,,,,,4.7632694495824664e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
